Province,Entry_Date,Cumulative confirmed cases,Confirmed cases per day,Cumulative death cases,Deaths per day,Cumulative hospitalizations cases,hospitalizations per day,Mortality rate,Daily mortality rate
Ontario,1/7/2021,211573,4169,5108,49,1483,3,2.414,1.175
Northwest Territories,1/7/2021,24,0,0,0,0,0,0,0
Nunavut,1/7/2021,266,0,1,0,0,0,0.376,0
Nova Scotia,1/7/2021,1523,3,65,0,0,0,4.268,0
Prince Edward Island,1/7/2021,102,1,0,0,0,0,0,0
Quebec,1/8/2021,216762,2799,8194,47,1403,23,3.78,1.679
Newfoundland and Labrador,1/8/2021,392,0,4,0,1,0,1.02,0
Nunavut,1/8/2021,266,0,1,0,0,0,0.376,0
Saskatchewan,1/8/2021,17474,336,182,7,180,4,1.042,2.083
Yukon,1/8/2021,83,0,1,0,0,0,1.205,0
Prince Edward Island,1/8/2021,102,0,0,0,0,0,0,0
Nova Scotia,1/8/2021,1525,2,65,0,0,0,4.262,0
Ontario,1/8/2021,215396,3823,5155,47,1507,24,2.393,1.229
Northwest Territories,1/8/2021,24,0,0,0,0,0,0,0
Yukon,1/9/2021,83,0,1,0,0,0,1.205,0
Prince Edward Island,1/9/2021,102,0,0,0,0,0,0,0
Northwest Territories,1/9/2021,24,0,0,0,0,0,0,0
Nova Scotia,1/9/2021,1528,3,65,0,0,0,4.254,0
New Brunswick,1/9/2021,765,30,9,0,0,0,1.176,0
British Columbia,1/9/2021,57727,531,988,0,358,0,1.712,0
Ontario,1/9/2021,218773,3377,5218,63,1516,9,2.385,1.866
Nunavut,1/9/2021,266,0,1,0,0,0,0.376,0
Newfoundland and Labrador,1/9/2021,392,0,4,0,1,0,1.02,0
Ontario,1/10/2021,221876,3103,5269,51,1541,25,2.375,1.644
Nova Scotia,1/10/2021,1528,0,65,0,0,0,4.254,0
Saskatchewan,1/10/2021,17803,0,189,0,179,0,1.062,0
British Columbia,1/10/2021,58176,449,988,0,358,0,1.698,0
New Brunswick,1/10/2021,779,14,9,0,0,0,1.155,0
Northwest Territories,1/10/2021,24,0,0,0,0,0,0,0
Nunavut,1/10/2021,266,0,1,0,0,0,0.376,0
Prince Edward Island,1/10/2021,102,0,0,0,0,0,0,0
Yukon,1/10/2021,83,0,1,0,0,0,1.205,0
Manitoba,1/10/2021,26310,140,749,5,322,9,2.847,3.571
Newfoundland and Labrador,1/10/2021,393,1,4,0,1,0,1.018,0
Prince Edward Island,1/11/2021,102,0,0,0,0,0,0,0
Quebec,1/11/2021,223509,2239,8331,39,1438,58,3.727,1.742
New Brunswick,1/11/2021,800,21,9,0,1,1,1.125,0
Yukon,1/11/2021,83,0,1,0,0,0,1.205,0
Northwest Territories,1/11/2021,24,0,0,0,0,0,0,0
British Columbia,1/11/2021,58583,407,1010,22,358,0,1.724,5.405
Nova Scotia,1/11/2021,1533,5,65,0,0,0,4.24,0
Newfoundland and Labrador,1/11/2021,393,0,4,0,1,0,1.018,0
Nunavut,1/11/2021,266,0,1,0,0,0,0.376,0
Saskatchewan,1/11/2021,18522,719,197,8,197,18,1.064,1.113
Alberta,1/11/2021,113014,675,1345,38,811,17,1.19,5.63
Ontario,1/11/2021,224717,2841,5320,51,1596,55,2.367,1.795
Quebec,1/12/2021,225348,1839,8378,47,1499,61,3.718,2.556
Nova Scotia,1/12/2021,1534,1,65,0,0,0,4.237,0
Yukon,1/12/2021,83,0,1,0,0,0,1.205,0
Newfoundland and Labrador,1/12/2021,393,0,4,0,1,0,1.018,0
British Columbia,1/12/2021,59086,503,1019,9,368,10,1.725,1.789
Ontario,1/12/2021,227890,3173,5365,45,1714,118,2.354,1.418
Prince Edward Island,1/12/2021,103,1,0,0,0,0,0,0
Alberta,1/12/2021,113881,867,1368,23,819,8,1.201,2.653
Northwest Territories,1/12/2021,24,0,0,0,0,0,0,0
Nunavut,1/12/2021,266,0,1,0,0,0,0.376,0
Alberta,1/13/2021,114847,966,1389,21,820,1,1.209,2.174
Quebec,1/13/2021,227513,2165,8430,52,1516,17,3.705,2.402
Saskatchewan,1/13/2021,19017,247,203,2,205,14,1.067,0.81
Newfoundland and Labrador,1/13/2021,393,0,4,0,1,0,1.018,0
New Brunswick,1/13/2021,836,19,12,1,3,3,1.435,5.263
Prince Edward Island,1/13/2021,103,0,0,0,0,0,0,0
Yukon,1/13/2021,83,0,1,0,0,0,1.205,0
Nunavut,1/13/2021,266,0,1,0,0,0,0.376,0
Nova Scotia,1/13/2021,1542,8,65,0,0,0,4.215,0
Northwest Territories,1/13/2021,24,0,0,0,0,0,0,0
Prince Edward Island,1/14/2021,104,1,0,0,0,0,0,0
Quebec,1/14/2021,229562,2049,8493,63,1525,9,3.7,3.075
Northwest Territories,1/14/2021,24,0,0,0,0,0,0,0
Nunavut,1/14/2021,266,0,1,0,0,0,0.376,0
British Columbia,1/14/2021,60102,495,1038,7,362,2,1.727,1.414
Manitoba,1/14/2021,26954,257,765,1,290,1,2.838,0.389
Newfoundland and Labrador,1/14/2021,394,1,4,0,1,0,1.015,0
Nova Scotia,1/14/2021,1548,6,65,0,0,0,4.199,0
New Brunswick,1/14/2021,859,23,12,0,3,0,1.397,0
Yukon,1/14/2021,83,0,1,0,0,0,1.205,0
Saskatchewan,1/14/2021,19329,312,203,0,206,1,1.05,0
Yukon,1/15/2021,83,0,1,0,0,0,1.205,0
Northwest Territories,1/15/2021,25,1,0,0,0,0,0,0
Prince Edward Island,1/15/2021,104,0,0,0,0,0,0,0
New Brunswick,1/15/2021,884,25,12,0,4,1,1.357,0
Saskatchewan,1/15/2021,19715,386,207,4,210,4,1.05,1.036
Nunavut,1/15/2021,266,0,1,0,0,0,0.376,0
Newfoundland and Labrador,1/15/2021,395,1,4,0,1,0,1.013,0
Nova Scotia,1/15/2021,1550,2,65,0,0,0,4.194,0
Nunavut,1/16/2021,266,0,1,0,0,0,0.376,0
Newfoundland and Labrador,1/16/2021,395,0,4,0,1,0,1.013,0
Nova Scotia,1/16/2021,1554,4,65,0,0,0,4.183,0
Northwest Territories,1/16/2021,25,0,0,0,0,0,0,0
Yukon,1/16/2021,83,0,1,0,0,0,1.205,0
British Columbia,1/16/2021,61134,460,1047,0,349,0,1.713,0
Prince Edward Island,1/16/2021,104,0,0,0,0,0,0,0
Saskatchewan,1/17/2021,20272,287,212,3,203,4,1.046,1.045
Nunavut,1/17/2021,266,0,1,0,0,0,0.376,0
Nova Scotia,1/17/2021,1557,3,65,0,0,0,4.175,0
Prince Edward Island,1/17/2021,104,0,0,0,0,0,0,0
Newfoundland and Labrador,1/17/2021,396,1,4,0,1,0,1.01,0
Yukon,1/17/2021,83,0,1,0,0,0,1.205,0
British Columbia,1/17/2021,61450,316,1047,0,349,0,1.704,0
Manitoba,1/17/2021,27505,183,779,5,292,9,2.832,2.732
Northwest Territories,1/17/2021,28,3,0,0,0,0,0,0
Saskatchewan,1/18/2021,20562,290,216,4,210,7,1.05,1.379
Nunavut,1/18/2021,266,0,1,0,0,0,0.376,0
Alberta,1/18/2021,117994,462,1463,16,739,1,1.24,3.463
Prince Edward Island,1/18/2021,108,4,0,0,0,0,0,0
Quebec,1/18/2021,236689,1374,8686,44,1492,32,3.67,3.202
Newfoundland and Labrador,1/18/2021,396,0,4,0,1,0,1.01,0
New Brunswick,1/18/2021,973,26,12,0,1,0,1.233,0
Nova Scotia,1/18/2021,1557,0,65,0,0,0,4.175,0
Northwest Territories,1/18/2021,28,0,0,0,0,0,0,0
Yukon,1/18/2021,83,0,1,0,0,0,1.205,0
Prince Edward Island,1/19/2021,110,2,0,0,0,0,0,0
Quebec,1/19/2021,238063,1374,8738,52,1500,8,3.67,3.785
Newfoundland and Labrador,1/19/2021,396,0,4,0,1,0,1.01,0
New Brunswick,1/19/2021,1004,31,13,1,1,0,1.295,3.226
Nova Scotia,1/19/2021,1561,4,65,0,0,0,4.164,0
Ontario,1/19/2021,247060,2417,5782,64,1632,20,2.34,2.648
Alberta,1/19/2021,118664,670,1484,21,740,1,1.251,3.134
Yukon,1/19/2021,83,0,1,0,0,0,1.205,0
Northwest Territories,1/19/2021,30,2,0,0,0,0,0,0
Nunavut,1/19/2021,266,0,1,0,0,0,0.376,0
Nunavut,1/20/2021,266,0,1,0,0,0,0.376,0
Yukon,1/20/2021,83,0,1,0,0,0,1.205,0
Northwest Territories,1/20/2021,30,0,0,0,0,0,0,0
New Brunswick,1/20/2021,1025,21,13,0,2,1,1.268,0
Nova Scotia,1/20/2021,1564,3,65,0,0,0,4.156,0
Saskatchewan,1/20/2021,21112,241,226,4,207,0,1.07,1.66
Prince Edward Island,1/20/2021,110,0,0,0,0,0,0,0
Newfoundland and Labrador,1/20/2021,396,0,4,0,1,0,1.01,0
Alberta,1/20/2021,119336,672,1500,16,744,4,1.257,2.381
Northwest Territories,1/21/2021,31,1,0,0,0,0,0,0
Nova Scotia,1/21/2021,1565,1,65,0,0,0,4.153,0
Prince Edward Island,1/21/2021,110,0,0,0,0,0,0,0
Yukon,1/21/2021,83,0,1,0,0,0,1.205,0
Newfoundland and Labrador,1/21/2021,397,1,4,0,1,0,1.008,0
New Brunswick,1/21/2021,1057,32,13,0,3,1,1.23,0
Nunavut,1/21/2021,266,0,1,0,0,0,0.376,0
Northwest Territories,1/22/2021,31,0,0,0,0,0,0,0
New Brunswick,1/22/2021,1087,30,13,0,5,2,1.196,0
Nova Scotia,1/22/2021,1570,5,65,0,0,0,4.14,0
Prince Edward Island,1/22/2021,110,0,0,0,0,0,0,0
Manitoba,1/22/2021,28299,183,805,5,268,0,2.845,2.732
Nunavut,1/22/2021,267,1,1,0,0,0,0.375,0
